id,BC,FF,Rs,Rsh,VOC,jsc
34,Ag,46.22320348,98441.23462,4451705.776,400.850138,10.7000
35,Ag,35.81471945,195941.1749,2749271.889,380.737634,10.3000
36,Ag,42.77462125,172560.6685,4046762.567,421.926149,10.1859
37,Ag,40.93545565,234386.2817,3788165.78,423.58264,10.2000
38,Ag,39.96184711,556347.304,4084090.505,397.018106,8.8000
39,Ag,34.30923274,759485.7151,3500099.877,410.872689,8.8500
40,Ag,33.28467914,834713.1293,3588129.869,404.021323,8.4500
41,Ag,33.46818497,797430.7252,3783082.787,392.731572,8.0000
42,Ag,22.93718277,115192.9632,286429.848,57.3,7.9000
43,Ag,52.8312713,13741.17393,4167413.806,341.336102,12.6000
44,Ag,50.28692208,59735.60887,5064546.402,366.299059,11.6000
45,Ag,26.07256391,69499.24501,530721.3832,126.813921,10.3000
46,Ag,41.61978112,211379.7151,4021888.449,409.085833,9.4801
47,Ag,37.9873971,497239.6747,3890207.436,415.679136,8.7800
48,Ag,34.9959546,734785.6122,3860000.188,411.237062,8.6500
49,Ag,31.06211922,718876.1263,2636775.443,334.650557,7.9500
50,Ag,28.6802377,1206875.877,2959522.424,346.42143,6.8200
51,Ag,28.20733615,1001289.759,2702822.63,362.919689,7.4800
52,Ag,50.4884378,55186.09273,4152804.145,347.804766,12.9463
53,Ag,30.13161575,94013.98353,1151636.205,251.251574,11.9000
54,Ag,39.10939637,294469.1162,4121673.362,403.023425,8.5800
55,Ag,38.91387308,353936.2579,3763272.825,407.824457,9.4200
56,Ag,36.32418203,244796.2798,3735523.412,403.410889,8.5000
57,Ag,34.58684868,668876.3535,3920998.039,396.410273,8.2300
58,Ag,34.91083831,626276.3453,3188714.569,299.901805,7.2300
59,Ag,28.74788938,1038511.043,2940911.234,359.185092,7.6800
60,Ag,26.93395868,292583.5896,961949.6923,173.226274,8.5300
61,Ag,52.95868252,14818.86107,3795198.795,346.537231,14.5000
62,Ag,38.83022301,356701.6973,3307410.435,379.161557,10.8000
63,Ag,41.2818385,311339.8628,4164866.726,397.996148,9.9900
64,Ag,40.90159703,295592.4958,4365822.658,397.331342,9.3200
65,Ag,35.74009673,508556.4089,3978417.17,385.091015,8.7300
66,Ag,31.22197545,526265.4607,2370144.666,300.386716,7.9900
67,Ag,23.08631168,1795674.474,1842472.833,290.657644,6.1600
68,Ag,25.11757348,873306.9293,1854987.594,319.317894,8.4100
69,Ag,47.78985523,89670.83401,3426357.107,355.534176,13.9000
70,Ag,36.08598404,94201.53301,1766658.731,318.380566,12.6784
71,Ag,44.3147045,165783.3212,4283688.718,386.334447,10.8000
72,Ag,38.92518625,384828.0612,3831880.188,386.819036,10.0000
73,Ag,29.81576155,324258.0156,1304117.276,232.702667,9.1900
74,Ag,34.43139341,518625.02,3574597.874,370.418949,9.6100
75,Ag,25.27062434,945789.8261,1884265.126,321.012853,8.0200
76,Ag,27.14442939,681314.1062,2097646.394,341.139095,9.9970
77,Ag,41.14951583,123029.358,2522009.876,361.652943,13.2000
78,Ag,40.76953275,312260.3682,3590850.147,391.825602,12.2000
79,Ag,41.87238398,198959.1289,3499969.639,347.444989,11.9000
80,Ag,33.17740295,630018.6212,2391163.674,312.36414,9.3200
81,Ag,24.37405978,1007254.926,1768666.35,316.683485,8.0100
82,Ag,27.8920933,596922.9232,2085428.659,341.707396,10.1000
83,Ag,33.12743591,363078.0198,2557290.474,362.25301,12.2000
84,Ag,36.21838735,397337.2926,3112564.254,377.986621,11.3000
85,Ag,36.91224586,353547.3657,3022557.747,375.775628,12.1242
86,Ag,34.41405384,403222.1787,2065137.445,335.253985,11.9000
87,Ag,26.29716,559936.7739,1678460.249,346.367831,11.8000
88,Ag,27.61468151,538614.9695,1706816.017,359.386382,11.8000
89,Ag,53.31418163,12938.80924,2569549.099,364.670117,25.3000
90,Ag,0,14530.24181,5247565061,0,0.0000
91,Ag,64.27616548,24833.79363,3166454.737,254.236178,15.1000
92,Ag,0,2778976209,2361252274,0,0.0000
93,Ag,35.07226882,245099.2183,1877918.744,337.987065,14.1000
94,Ag,42.34230777,6461.842276,916317.1203,330.623119,32.9000
95,Ag,43.20559908,36922.4643,1531153.42,333.480623,25.3000
96,Ag,36.45449751,110810.2773,1228255.742,345.980883,20.7000
97,Ag,33.27669813,383509.0043,2037113.504,401.777581,15.9000
98,Ag,26.03673775,29924.87493,258217.6296,106.834295,14.7000
99,Ag,27.38766722,547402.0888,1496597.097,362.020307,12.7000
100,Ag,34.00286081,47465.27685,912541.8067,206.703491,16.0000
101,Ag,8272.050148,356222.449,6836.334177,1.83,10.6000
102,Ag,35.41116637,31.928562,1401235.411,300.17702,14.4000
103,Ag,27.72047072,870408.8277,2172670.721,365.895785,8.0400
104,Ag,46.25767237,248.4838006,2733658.205,320.130555,11.7000
105,Ag,5585.794646,381949.8665,3200.266394,0.899,10.9000
106,Ag,36.53402282,462660.9366,3517622.079,376.705602,9.1200
107,Ag,26.44989932,470.9155587,567586.1254,137.049155,10.6000
108,Ag,24.06205789,18198.33841,100875.0565,32.1,12.8000
109,Ag,40.14109393,235609.7827,3532556.578,421.411537,10.4631
110,Ag,23.15388881,10802.01065,2248501.093,335.379766,5.8200
111,Ag,26.01961576,5964.357726,258429.8503,71.1,11.9234
112,Ag,27.34325886,8399.48287,2186248.04,292.038407,6.2500
113,Ag,40.92575353,322736.686,4381650.086,414.586011,9.6800
114,Ag,41.38650756,233738.6796,4180072.633,412.835634,9.5800
115,Ag,36.31705966,297716.4909,3195268.059,382.34378,9.4600
116,Ag,42.4191869,329069.7877,4545921.883,388.480558,10.3086
117,Ag,23.78965657,1615886.445,1948561.05,298.549979,6.4800
118,Ag,24.07169119,449.4851573,165779.7133,53,12.6000
119,Ag,44.74351523,455.2825919,4213857.074,379.216044,11.4000
120,Ag,40.76921114,221182.9782,3877698.191,395.725464,9.4800
121,Ag,32.9630153,27077.58718,1775904.793,317.929124,9.5600
